"ecoregion","metierL4","species"
"Greenland Sea","OTB","Beryx decadactylus"
"Icelandic Waters","OTB","Beryx decadactylus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Beryx decadactylus"
"Norwegian Sea","OTB","Beryx decadactylus"
"Oceanic Northeast Atlantic","OTB","Beryx decadactylus"
"Western Mediterranean Sea","OTB","Beryx decadactylus"
NA,"OTB","Beryx decadactylus"
"Adriatic Sea","GNS","Beryx splendens"
"Aegean-Levantine Sea","GNS","Beryx splendens"
"Azores","GNS","Beryx splendens"
"Baltic Sea","GNS","Beryx splendens"
"Barents Sea","GNS","Beryx splendens"
"Bay of Biscay and the Iberian Coast","GNS","Beryx splendens"
"Black Sea","GNS","Beryx splendens"
"Celtic Seas","GNS","Beryx splendens"
"Greater North Sea","GNS","Beryx splendens"
"Icelandic Waters","GNS","Beryx splendens"
"Ionian Sea and the Central Mediterranean Sea","GNS","Beryx splendens"
"Norwegian Sea","GNS","Beryx splendens"
"Oceanic Northeast Atlantic","GNS","Beryx splendens"
"Western Mediterranean Sea","GNS","Beryx splendens"
"Adriatic Sea","FPO","Blicca bjoerkna"
"Aegean-Levantine Sea","FPO","Blicca bjoerkna"
"Azores","FPO","Blicca bjoerkna"
"Baltic Sea","FPO","Blicca bjoerkna"
"Bay of Biscay and the Iberian Coast","FPO","Blicca bjoerkna"
"Black Sea","FPO","Blicca bjoerkna"
"Celtic Seas","FPO","Blicca bjoerkna"
"Faroes","FPO","Blicca bjoerkna"
"Greater North Sea","FPO","Blicca bjoerkna"
"Icelandic Waters","FPO","Blicca bjoerkna"
"Ionian Sea and the Central Mediterranean Sea","FPO","Blicca bjoerkna"
"Oceanic Northeast Atlantic","FPO","Blicca bjoerkna"
"Western Mediterranean Sea","FPO","Blicca bjoerkna"
"Adriatic Sea","GNS","Bodianus scrofa"
"Aegean-Levantine Sea","GNS","Bodianus scrofa"
"Azores","GNS","Bodianus scrofa"
"Baltic Sea","GNS","Bodianus scrofa"
"Barents Sea","GNS","Bodianus scrofa"
"Bay of Biscay and the Iberian Coast","GNS","Bodianus scrofa"
"Black Sea","GNS","Bodianus scrofa"
"Celtic Seas","GNS","Bodianus scrofa"
"Greater North Sea","GNS","Bodianus scrofa"
"Icelandic Waters","GNS","Bodianus scrofa"
"Ionian Sea and the Central Mediterranean Sea","GNS","Bodianus scrofa"
"Norwegian Sea","GNS","Bodianus scrofa"
"Oceanic Northeast Atlantic","GNS","Bodianus scrofa"
"Western Mediterranean Sea","GNS","Bodianus scrofa"
"Adriatic Sea","LHM","Bodianus scrofa"
"Bay of Biscay and the Iberian Coast","LHM","Bodianus scrofa"
"Black Sea","LHM","Bodianus scrofa"
"Greater North Sea","LHM","Bodianus scrofa"
"Icelandic Waters","LHM","Bodianus scrofa"
"Ionian Sea and the Central Mediterranean Sea","LHM","Bodianus scrofa"
"Western Mediterranean Sea","LHM","Bodianus scrofa"
"Adriatic Sea","GNS","Bolinus brandaris"
"Aegean-Levantine Sea","GNS","Bolinus brandaris"
"Azores","GNS","Bolinus brandaris"
"Baltic Sea","GNS","Bolinus brandaris"
"Barents Sea","GNS","Bolinus brandaris"
"Bay of Biscay and the Iberian Coast","GNS","Bolinus brandaris"
"Black Sea","GNS","Bolinus brandaris"
"Celtic Seas","GNS","Bolinus brandaris"
"Greater North Sea","GNS","Bolinus brandaris"
"Icelandic Waters","GNS","Bolinus brandaris"
"Ionian Sea and the Central Mediterranean Sea","GNS","Bolinus brandaris"
"Norwegian Sea","GNS","Bolinus brandaris"
"Oceanic Northeast Atlantic","GNS","Bolinus brandaris"
"Western Mediterranean Sea","GNS","Bolinus brandaris"
"Adriatic Sea","GTR","Bolinus brandaris"
"Aegean-Levantine Sea","GTR","Bolinus brandaris"
"Baltic Sea","GTR","Bolinus brandaris"
"Bay of Biscay and the Iberian Coast","GTR","Bolinus brandaris"
"Celtic Seas","GTR","Bolinus brandaris"
"Greater North Sea","GTR","Bolinus brandaris"
"Ionian Sea and the Central Mediterranean Sea","GTR","Bolinus brandaris"
"Oceanic Northeast Atlantic","GTR","Bolinus brandaris"
"Western Mediterranean Sea","GTR","Bolinus brandaris"
"Adriatic Sea","LLS","Bolinus brandaris"
"Aegean-Levantine Sea","LLS","Bolinus brandaris"
"Azores","LLS","Bolinus brandaris"
"Baltic Sea","LLS","Bolinus brandaris"
"Bay of Biscay and the Iberian Coast","LLS","Bolinus brandaris"
"Black Sea","LLS","Bolinus brandaris"
"Celtic Seas","LLS","Bolinus brandaris"
"Faroes","LLS","Bolinus brandaris"
"Greater North Sea","LLS","Bolinus brandaris"
"Icelandic Waters","LLS","Bolinus brandaris"
"Ionian Sea and the Central Mediterranean Sea","LLS","Bolinus brandaris"
"Oceanic Northeast Atlantic","LLS","Bolinus brandaris"
"Western Mediterranean Sea","LLS","Bolinus brandaris"
"Adriatic Sea","OTB","Bolinus brandaris"
"Aegean-Levantine Sea","OTB","Bolinus brandaris"
"Baltic Sea","OTB","Bolinus brandaris"
"Barents Sea","OTB","Bolinus brandaris"
"Bay of Biscay and the Iberian Coast","OTB","Bolinus brandaris"
"Celtic Seas","OTB","Bolinus brandaris"
"Faroes","OTB","Bolinus brandaris"
"Greater North Sea","OTB","Bolinus brandaris"
"Greenland Sea","OTB","Bolinus brandaris"
"Icelandic Waters","OTB","Bolinus brandaris"
"Ionian Sea and the Central Mediterranean Sea","OTB","Bolinus brandaris"
"Norwegian Sea","OTB","Bolinus brandaris"
"Oceanic Northeast Atlantic","OTB","Bolinus brandaris"
"Western Mediterranean Sea","OTB","Bolinus brandaris"
NA,"OTB","Bolinus brandaris"
"Adriatic Sea","GNS","Brama brama"
"Aegean-Levantine Sea","GNS","Brama brama"
"Azores","GNS","Brama brama"
"Baltic Sea","GNS","Brama brama"
"Barents Sea","GNS","Brama brama"
"Bay of Biscay and the Iberian Coast","GNS","Brama brama"
"Black Sea","GNS","Brama brama"
"Celtic Seas","GNS","Brama brama"
"Greater North Sea","GNS","Brama brama"
"Icelandic Waters","GNS","Brama brama"
"Ionian Sea and the Central Mediterranean Sea","GNS","Brama brama"
"Norwegian Sea","GNS","Brama brama"
"Oceanic Northeast Atlantic","GNS","Brama brama"
"Western Mediterranean Sea","GNS","Brama brama"
"Adriatic Sea","OTB","Brama brama"
"Aegean-Levantine Sea","OTB","Brama brama"
"Baltic Sea","OTB","Brama brama"
"Barents Sea","OTB","Brama brama"
"Bay of Biscay and the Iberian Coast","OTB","Brama brama"
"Celtic Seas","OTB","Brama brama"
"Faroes","OTB","Brama brama"
"Greater North Sea","OTB","Brama brama"
"Greenland Sea","OTB","Brama brama"
"Icelandic Waters","OTB","Brama brama"
"Ionian Sea and the Central Mediterranean Sea","OTB","Brama brama"
"Norwegian Sea","OTB","Brama brama"
"Oceanic Northeast Atlantic","OTB","Brama brama"
"Western Mediterranean Sea","OTB","Brama brama"
NA,"OTB","Brama brama"
"Adriatic Sea","OTM","Brama brama"
"Baltic Sea","OTM","Brama brama"
"Bay of Biscay and the Iberian Coast","OTM","Brama brama"
"Black Sea","OTM","Brama brama"
"Celtic Seas","OTM","Brama brama"
"Faroes","OTM","Brama brama"
"Greater North Sea","OTM","Brama brama"
"Icelandic Waters","OTM","Brama brama"
"Ionian Sea and the Central Mediterranean Sea","OTM","Brama brama"
"Norwegian Sea","OTM","Brama brama"
"Oceanic Northeast Atlantic","OTM","Brama brama"
"Western Mediterranean Sea","OTM","Brama brama"
"Baltic Sea","PTB","Brama brama"
"Bay of Biscay and the Iberian Coast","PTB","Brama brama"
"Celtic Seas","PTB","Brama brama"
"Greater North Sea","PTB","Brama brama"
"Adriatic Sea","LHM","Calonectris borealis"
"Bay of Biscay and the Iberian Coast","LHM","Calonectris borealis"
"Black Sea","LHM","Calonectris borealis"
"Greater North Sea","LHM","Calonectris borealis"
"Icelandic Waters","LHM","Calonectris borealis"
"Ionian Sea and the Central Mediterranean Sea","LHM","Calonectris borealis"
"Western Mediterranean Sea","LHM","Calonectris borealis"
"Adriatic Sea","LHP","Calonectris borealis"
"Azores","LHP","Calonectris borealis"
"Baltic Sea","LHP","Calonectris borealis"
"Bay of Biscay and the Iberian Coast","LHP","Calonectris borealis"
"Black Sea","LHP","Calonectris borealis"
"Celtic Seas","LHP","Calonectris borealis"
"Greater North Sea","LHP","Calonectris borealis"
"Ionian Sea and the Central Mediterranean Sea","LHP","Calonectris borealis"
"Western Mediterranean Sea","LHP","Calonectris borealis"
"Adriatic Sea","LLD","Calonectris diomedea"
"Aegean-Levantine Sea","LLD","Calonectris diomedea"
"Azores","LLD","Calonectris diomedea"
"Baltic Sea","LLD","Calonectris diomedea"
"Bay of Biscay and the Iberian Coast","LLD","Calonectris diomedea"
"Black Sea","LLD","Calonectris diomedea"
"Celtic Seas","LLD","Calonectris diomedea"
"Greater North Sea","LLD","Calonectris diomedea"
"Ionian Sea and the Central Mediterranean Sea","LLD","Calonectris diomedea"
"Oceanic Northeast Atlantic","LLD","Calonectris diomedea"
"Western Mediterranean Sea","LLD","Calonectris diomedea"
NA,"LLD","Calonectris diomedea"
"Adriatic Sea","FPO","Carassius carassius"
"Aegean-Levantine Sea","FPO","Carassius carassius"
"Azores","FPO","Carassius carassius"
"Baltic Sea","FPO","Carassius carassius"
"Bay of Biscay and the Iberian Coast","FPO","Carassius carassius"
"Black Sea","FPO","Carassius carassius"
"Celtic Seas","FPO","Carassius carassius"
"Faroes","FPO","Carassius carassius"
"Greater North Sea","FPO","Carassius carassius"
"Icelandic Waters","FPO","Carassius carassius"
"Ionian Sea and the Central Mediterranean Sea","FPO","Carassius carassius"
"Oceanic Northeast Atlantic","FPO","Carassius carassius"
"Western Mediterranean Sea","FPO","Carassius carassius"
"Adriatic Sea","GNS","Carassius carassius"
"Aegean-Levantine Sea","GNS","Carassius carassius"
"Azores","GNS","Carassius carassius"
"Baltic Sea","GNS","Carassius carassius"
"Barents Sea","GNS","Carassius carassius"
"Bay of Biscay and the Iberian Coast","GNS","Carassius carassius"
"Black Sea","GNS","Carassius carassius"
"Celtic Seas","GNS","Carassius carassius"
"Greater North Sea","GNS","Carassius carassius"
"Icelandic Waters","GNS","Carassius carassius"
"Ionian Sea and the Central Mediterranean Sea","GNS","Carassius carassius"
"Norwegian Sea","GNS","Carassius carassius"
"Oceanic Northeast Atlantic","GNS","Carassius carassius"
"Western Mediterranean Sea","GNS","Carassius carassius"
"Adriatic Sea","GNS","Caretta caretta"
"Aegean-Levantine Sea","GNS","Caretta caretta"
"Azores","GNS","Caretta caretta"
"Baltic Sea","GNS","Caretta caretta"
"Barents Sea","GNS","Caretta caretta"
"Bay of Biscay and the Iberian Coast","GNS","Caretta caretta"
"Black Sea","GNS","Caretta caretta"
"Celtic Seas","GNS","Caretta caretta"
"Greater North Sea","GNS","Caretta caretta"
"Icelandic Waters","GNS","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","GNS","Caretta caretta"
"Norwegian Sea","GNS","Caretta caretta"
"Oceanic Northeast Atlantic","GNS","Caretta caretta"
"Western Mediterranean Sea","GNS","Caretta caretta"
"Adriatic Sea","GTR","Caretta caretta"
"Aegean-Levantine Sea","GTR","Caretta caretta"
"Baltic Sea","GTR","Caretta caretta"
"Bay of Biscay and the Iberian Coast","GTR","Caretta caretta"
"Celtic Seas","GTR","Caretta caretta"
"Greater North Sea","GTR","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","GTR","Caretta caretta"
"Oceanic Northeast Atlantic","GTR","Caretta caretta"
"Western Mediterranean Sea","GTR","Caretta caretta"
"Adriatic Sea","LLD","Caretta caretta"
"Aegean-Levantine Sea","LLD","Caretta caretta"
"Azores","LLD","Caretta caretta"
"Baltic Sea","LLD","Caretta caretta"
"Bay of Biscay and the Iberian Coast","LLD","Caretta caretta"
"Black Sea","LLD","Caretta caretta"
"Celtic Seas","LLD","Caretta caretta"
"Greater North Sea","LLD","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","LLD","Caretta caretta"
"Oceanic Northeast Atlantic","LLD","Caretta caretta"
"Western Mediterranean Sea","LLD","Caretta caretta"
NA,"LLD","Caretta caretta"
"Adriatic Sea","LLS","Caretta caretta"
"Aegean-Levantine Sea","LLS","Caretta caretta"
"Azores","LLS","Caretta caretta"
"Baltic Sea","LLS","Caretta caretta"
"Bay of Biscay and the Iberian Coast","LLS","Caretta caretta"
"Black Sea","LLS","Caretta caretta"
"Celtic Seas","LLS","Caretta caretta"
"Faroes","LLS","Caretta caretta"
"Greater North Sea","LLS","Caretta caretta"
"Icelandic Waters","LLS","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","LLS","Caretta caretta"
"Oceanic Northeast Atlantic","LLS","Caretta caretta"
"Western Mediterranean Sea","LLS","Caretta caretta"
"Adriatic Sea","OTB","Caretta caretta"
"Aegean-Levantine Sea","OTB","Caretta caretta"
"Baltic Sea","OTB","Caretta caretta"
"Barents Sea","OTB","Caretta caretta"
"Bay of Biscay and the Iberian Coast","OTB","Caretta caretta"
"Celtic Seas","OTB","Caretta caretta"
"Faroes","OTB","Caretta caretta"
"Greater North Sea","OTB","Caretta caretta"
"Greenland Sea","OTB","Caretta caretta"
"Icelandic Waters","OTB","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","OTB","Caretta caretta"
"Norwegian Sea","OTB","Caretta caretta"
"Oceanic Northeast Atlantic","OTB","Caretta caretta"
"Western Mediterranean Sea","OTB","Caretta caretta"
NA,"OTB","Caretta caretta"
"Barents Sea","OTT","Caretta caretta"
"Bay of Biscay and the Iberian Coast","OTT","Caretta caretta"
"Celtic Seas","OTT","Caretta caretta"
"Faroes","OTT","Caretta caretta"
"Greater North Sea","OTT","Caretta caretta"
"Greenland Sea","OTT","Caretta caretta"
"Norwegian Sea","OTT","Caretta caretta"
"Oceanic Northeast Atlantic","OTT","Caretta caretta"
"Western Mediterranean Sea","OTT","Caretta caretta"
"Adriatic Sea","PS","Caretta caretta"
"Aegean-Levantine Sea","PS","Caretta caretta"
"Azores","PS","Caretta caretta"
"Baltic Sea","PS","Caretta caretta"
"Bay of Biscay and the Iberian Coast","PS","Caretta caretta"
"Black Sea","PS","Caretta caretta"
"Celtic Seas","PS","Caretta caretta"
"Greater North Sea","PS","Caretta caretta"
"Icelandic Waters","PS","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","PS","Caretta caretta"
"Western Mediterranean Sea","PS","Caretta caretta"
"Adriatic Sea","PTM","Caretta caretta"
"Baltic Sea","PTM","Caretta caretta"
"Bay of Biscay and the Iberian Coast","PTM","Caretta caretta"
"Celtic Seas","PTM","Caretta caretta"
"Greater North Sea","PTM","Caretta caretta"
"Ionian Sea and the Central Mediterranean Sea","PTM","Caretta caretta"
"Norwegian Sea","PTM","Caretta caretta"
"Oceanic Northeast Atlantic","PTM","Caretta caretta"
"Western Mediterranean Sea","PTM","Caretta caretta"
"Adriatic Sea","GNS","Centrophorus granulosus"
"Aegean-Levantine Sea","GNS","Centrophorus granulosus"
"Azores","GNS","Centrophorus granulosus"
"Baltic Sea","GNS","Centrophorus granulosus"
"Barents Sea","GNS","Centrophorus granulosus"
"Bay of Biscay and the Iberian Coast","GNS","Centrophorus granulosus"
"Black Sea","GNS","Centrophorus granulosus"
"Celtic Seas","GNS","Centrophorus granulosus"
"Greater North Sea","GNS","Centrophorus granulosus"
"Icelandic Waters","GNS","Centrophorus granulosus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Centrophorus granulosus"
"Norwegian Sea","GNS","Centrophorus granulosus"
"Oceanic Northeast Atlantic","GNS","Centrophorus granulosus"
"Western Mediterranean Sea","GNS","Centrophorus granulosus"
"Adriatic Sea","GTR","Centrophorus granulosus"
"Aegean-Levantine Sea","GTR","Centrophorus granulosus"
"Baltic Sea","GTR","Centrophorus granulosus"
"Bay of Biscay and the Iberian Coast","GTR","Centrophorus granulosus"
"Celtic Seas","GTR","Centrophorus granulosus"
"Greater North Sea","GTR","Centrophorus granulosus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Centrophorus granulosus"
"Oceanic Northeast Atlantic","GTR","Centrophorus granulosus"
"Western Mediterranean Sea","GTR","Centrophorus granulosus"
"Adriatic Sea","LLS","Centrophorus granulosus"
"Aegean-Levantine Sea","LLS","Centrophorus granulosus"
"Azores","LLS","Centrophorus granulosus"
"Baltic Sea","LLS","Centrophorus granulosus"
"Bay of Biscay and the Iberian Coast","LLS","Centrophorus granulosus"
"Black Sea","LLS","Centrophorus granulosus"
"Celtic Seas","LLS","Centrophorus granulosus"
"Faroes","LLS","Centrophorus granulosus"
"Greater North Sea","LLS","Centrophorus granulosus"
"Icelandic Waters","LLS","Centrophorus granulosus"
"Ionian Sea and the Central Mediterranean Sea","LLS","Centrophorus granulosus"
"Oceanic Northeast Atlantic","LLS","Centrophorus granulosus"
"Western Mediterranean Sea","LLS","Centrophorus granulosus"
"Adriatic Sea","OTB","Centrophorus granulosus"
"Aegean-Levantine Sea","OTB","Centrophorus granulosus"
"Baltic Sea","OTB","Centrophorus granulosus"
"Barents Sea","OTB","Centrophorus granulosus"
"Bay of Biscay and the Iberian Coast","OTB","Centrophorus granulosus"
"Celtic Seas","OTB","Centrophorus granulosus"
"Faroes","OTB","Centrophorus granulosus"
"Greater North Sea","OTB","Centrophorus granulosus"
"Greenland Sea","OTB","Centrophorus granulosus"
"Icelandic Waters","OTB","Centrophorus granulosus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Centrophorus granulosus"
"Norwegian Sea","OTB","Centrophorus granulosus"
"Oceanic Northeast Atlantic","OTB","Centrophorus granulosus"
"Western Mediterranean Sea","OTB","Centrophorus granulosus"
NA,"OTB","Centrophorus granulosus"
"Adriatic Sea","OTM","Centrophorus granulosus"
"Baltic Sea","OTM","Centrophorus granulosus"
"Bay of Biscay and the Iberian Coast","OTM","Centrophorus granulosus"
"Black Sea","OTM","Centrophorus granulosus"
"Celtic Seas","OTM","Centrophorus granulosus"
"Faroes","OTM","Centrophorus granulosus"
"Greater North Sea","OTM","Centrophorus granulosus"
"Icelandic Waters","OTM","Centrophorus granulosus"
"Ionian Sea and the Central Mediterranean Sea","OTM","Centrophorus granulosus"
"Norwegian Sea","OTM","Centrophorus granulosus"
"Oceanic Northeast Atlantic","OTM","Centrophorus granulosus"
"Western Mediterranean Sea","OTM","Centrophorus granulosus"
"Baltic Sea","PTB","Centrophorus granulosus"
"Bay of Biscay and the Iberian Coast","PTB","Centrophorus granulosus"
"Celtic Seas","PTB","Centrophorus granulosus"
"Greater North Sea","PTB","Centrophorus granulosus"
"Adriatic Sea","GNS","Centrophorus squamosus"
"Aegean-Levantine Sea","GNS","Centrophorus squamosus"
"Azores","GNS","Centrophorus squamosus"
"Baltic Sea","GNS","Centrophorus squamosus"
"Barents Sea","GNS","Centrophorus squamosus"
"Bay of Biscay and the Iberian Coast","GNS","Centrophorus squamosus"
"Black Sea","GNS","Centrophorus squamosus"
"Celtic Seas","GNS","Centrophorus squamosus"
"Greater North Sea","GNS","Centrophorus squamosus"
"Icelandic Waters","GNS","Centrophorus squamosus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Centrophorus squamosus"
"Norwegian Sea","GNS","Centrophorus squamosus"
"Oceanic Northeast Atlantic","GNS","Centrophorus squamosus"
"Western Mediterranean Sea","GNS","Centrophorus squamosus"
"Adriatic Sea","LLS","Centrophorus squamosus"
"Aegean-Levantine Sea","LLS","Centrophorus squamosus"
"Azores","LLS","Centrophorus squamosus"
"Baltic Sea","LLS","Centrophorus squamosus"
"Bay of Biscay and the Iberian Coast","LLS","Centrophorus squamosus"
"Black Sea","LLS","Centrophorus squamosus"
"Celtic Seas","LLS","Centrophorus squamosus"
"Faroes","LLS","Centrophorus squamosus"
"Greater North Sea","LLS","Centrophorus squamosus"
"Icelandic Waters","LLS","Centrophorus squamosus"
"Ionian Sea and the Central Mediterranean Sea","LLS","Centrophorus squamosus"
"Oceanic Northeast Atlantic","LLS","Centrophorus squamosus"
"Western Mediterranean Sea","LLS","Centrophorus squamosus"
"Adriatic Sea","OTB","Centrophorus squamosus"
"Aegean-Levantine Sea","OTB","Centrophorus squamosus"
"Baltic Sea","OTB","Centrophorus squamosus"
"Barents Sea","OTB","Centrophorus squamosus"
"Bay of Biscay and the Iberian Coast","OTB","Centrophorus squamosus"
"Celtic Seas","OTB","Centrophorus squamosus"
"Faroes","OTB","Centrophorus squamosus"
"Greater North Sea","OTB","Centrophorus squamosus"
"Greenland Sea","OTB","Centrophorus squamosus"
"Icelandic Waters","OTB","Centrophorus squamosus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Centrophorus squamosus"
"Norwegian Sea","OTB","Centrophorus squamosus"
"Oceanic Northeast Atlantic","OTB","Centrophorus squamosus"
"Western Mediterranean Sea","OTB","Centrophorus squamosus"
NA,"OTB","Centrophorus squamosus"
"Adriatic Sea","OTM","Centrophorus squamosus"
"Baltic Sea","OTM","Centrophorus squamosus"
"Bay of Biscay and the Iberian Coast","OTM","Centrophorus squamosus"
"Black Sea","OTM","Centrophorus squamosus"
"Celtic Seas","OTM","Centrophorus squamosus"
"Faroes","OTM","Centrophorus squamosus"
"Greater North Sea","OTM","Centrophorus squamosus"
"Icelandic Waters","OTM","Centrophorus squamosus"
"Ionian Sea and the Central Mediterranean Sea","OTM","Centrophorus squamosus"
"Norwegian Sea","OTM","Centrophorus squamosus"
"Oceanic Northeast Atlantic","OTM","Centrophorus squamosus"
"Western Mediterranean Sea","OTM","Centrophorus squamosus"
"Adriatic Sea","GNS","Centroscyllium fabricii"
"Aegean-Levantine Sea","GNS","Centroscyllium fabricii"
"Azores","GNS","Centroscyllium fabricii"
"Baltic Sea","GNS","Centroscyllium fabricii"
"Barents Sea","GNS","Centroscyllium fabricii"
"Bay of Biscay and the Iberian Coast","GNS","Centroscyllium fabricii"
"Black Sea","GNS","Centroscyllium fabricii"
"Celtic Seas","GNS","Centroscyllium fabricii"
"Greater North Sea","GNS","Centroscyllium fabricii"
"Icelandic Waters","GNS","Centroscyllium fabricii"
"Ionian Sea and the Central Mediterranean Sea","GNS","Centroscyllium fabricii"
"Norwegian Sea","GNS","Centroscyllium fabricii"
"Oceanic Northeast Atlantic","GNS","Centroscyllium fabricii"
"Western Mediterranean Sea","GNS","Centroscyllium fabricii"
"Adriatic Sea","OTB","Centroscyllium fabricii"
"Aegean-Levantine Sea","OTB","Centroscyllium fabricii"
"Baltic Sea","OTB","Centroscyllium fabricii"
"Barents Sea","OTB","Centroscyllium fabricii"
"Bay of Biscay and the Iberian Coast","OTB","Centroscyllium fabricii"
"Celtic Seas","OTB","Centroscyllium fabricii"
"Faroes","OTB","Centroscyllium fabricii"
"Greater North Sea","OTB","Centroscyllium fabricii"
"Greenland Sea","OTB","Centroscyllium fabricii"
"Icelandic Waters","OTB","Centroscyllium fabricii"
"Ionian Sea and the Central Mediterranean Sea","OTB","Centroscyllium fabricii"
"Norwegian Sea","OTB","Centroscyllium fabricii"
"Oceanic Northeast Atlantic","OTB","Centroscyllium fabricii"
"Western Mediterranean Sea","OTB","Centroscyllium fabricii"
NA,"OTB","Centroscyllium fabricii"
"Adriatic Sea","OTM","Centroscyllium fabricii"
"Baltic Sea","OTM","Centroscyllium fabricii"
"Bay of Biscay and the Iberian Coast","OTM","Centroscyllium fabricii"
"Black Sea","OTM","Centroscyllium fabricii"
"Celtic Seas","OTM","Centroscyllium fabricii"
"Faroes","OTM","Centroscyllium fabricii"
"Greater North Sea","OTM","Centroscyllium fabricii"
"Icelandic Waters","OTM","Centroscyllium fabricii"
"Ionian Sea and the Central Mediterranean Sea","OTM","Centroscyllium fabricii"
"Norwegian Sea","OTM","Centroscyllium fabricii"
"Oceanic Northeast Atlantic","OTM","Centroscyllium fabricii"
"Western Mediterranean Sea","OTM","Centroscyllium fabricii"
"Adriatic Sea","OTB","Centroscymnus coelolepis"
"Aegean-Levantine Sea","OTB","Centroscymnus coelolepis"
"Baltic Sea","OTB","Centroscymnus coelolepis"
"Barents Sea","OTB","Centroscymnus coelolepis"
"Bay of Biscay and the Iberian Coast","OTB","Centroscymnus coelolepis"
"Celtic Seas","OTB","Centroscymnus coelolepis"
"Faroes","OTB","Centroscymnus coelolepis"
"Greater North Sea","OTB","Centroscymnus coelolepis"
"Greenland Sea","OTB","Centroscymnus coelolepis"
"Icelandic Waters","OTB","Centroscymnus coelolepis"
"Ionian Sea and the Central Mediterranean Sea","OTB","Centroscymnus coelolepis"
"Norwegian Sea","OTB","Centroscymnus coelolepis"
"Oceanic Northeast Atlantic","OTB","Centroscymnus coelolepis"
"Western Mediterranean Sea","OTB","Centroscymnus coelolepis"
NA,"OTB","Centroscymnus coelolepis"
"Adriatic Sea","OTM","Centroscymnus coelolepis"
"Baltic Sea","OTM","Centroscymnus coelolepis"
"Bay of Biscay and the Iberian Coast","OTM","Centroscymnus coelolepis"
"Black Sea","OTM","Centroscymnus coelolepis"
"Celtic Seas","OTM","Centroscymnus coelolepis"
"Faroes","OTM","Centroscymnus coelolepis"
"Greater North Sea","OTM","Centroscymnus coelolepis"
"Icelandic Waters","OTM","Centroscymnus coelolepis"
"Ionian Sea and the Central Mediterranean Sea","OTM","Centroscymnus coelolepis"
"Norwegian Sea","OTM","Centroscymnus coelolepis"
"Oceanic Northeast Atlantic","OTM","Centroscymnus coelolepis"
"Western Mediterranean Sea","OTM","Centroscymnus coelolepis"
"Adriatic Sea","LLS","Centroscymnus crepidater"
"Aegean-Levantine Sea","LLS","Centroscymnus crepidater"
"Azores","LLS","Centroscymnus crepidater"
"Baltic Sea","LLS","Centroscymnus crepidater"
"Bay of Biscay and the Iberian Coast","LLS","Centroscymnus crepidater"
"Black Sea","LLS","Centroscymnus crepidater"
"Celtic Seas","LLS","Centroscymnus crepidater"
"Faroes","LLS","Centroscymnus crepidater"
"Greater North Sea","LLS","Centroscymnus crepidater"
"Icelandic Waters","LLS","Centroscymnus crepidater"
"Ionian Sea and the Central Mediterranean Sea","LLS","Centroscymnus crepidater"
"Oceanic Northeast Atlantic","LLS","Centroscymnus crepidater"
"Western Mediterranean Sea","LLS","Centroscymnus crepidater"
"Adriatic Sea","OTB","Centroscymnus crepidater"
"Aegean-Levantine Sea","OTB","Centroscymnus crepidater"
"Baltic Sea","OTB","Centroscymnus crepidater"
"Barents Sea","OTB","Centroscymnus crepidater"
"Bay of Biscay and the Iberian Coast","OTB","Centroscymnus crepidater"
"Celtic Seas","OTB","Centroscymnus crepidater"
"Faroes","OTB","Centroscymnus crepidater"
"Greater North Sea","OTB","Centroscymnus crepidater"
"Greenland Sea","OTB","Centroscymnus crepidater"
"Icelandic Waters","OTB","Centroscymnus crepidater"
"Ionian Sea and the Central Mediterranean Sea","OTB","Centroscymnus crepidater"
"Norwegian Sea","OTB","Centroscymnus crepidater"
"Oceanic Northeast Atlantic","OTB","Centroscymnus crepidater"
"Western Mediterranean Sea","OTB","Centroscymnus crepidater"
NA,"OTB","Centroscymnus crepidater"
"Adriatic Sea","OTM","Centroscymnus crepidater"
"Baltic Sea","OTM","Centroscymnus crepidater"
"Bay of Biscay and the Iberian Coast","OTM","Centroscymnus crepidater"
"Black Sea","OTM","Centroscymnus crepidater"
"Celtic Seas","OTM","Centroscymnus crepidater"
"Faroes","OTM","Centroscymnus crepidater"
"Greater North Sea","OTM","Centroscymnus crepidater"
"Icelandic Waters","OTM","Centroscymnus crepidater"
"Ionian Sea and the Central Mediterranean Sea","OTM","Centroscymnus crepidater"
"Norwegian Sea","OTM","Centroscymnus crepidater"
"Oceanic Northeast Atlantic","OTM","Centroscymnus crepidater"
"Western Mediterranean Sea","OTM","Centroscymnus crepidater"
"Adriatic Sea","GNS","Centroselachus crepidater"
"Aegean-Levantine Sea","GNS","Centroselachus crepidater"
